Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6,Text Area 7,Text Area 8,Text Area 9,Text Area 10,Text Area 11,Text Area 12,Text Area 13,Text Area 14,Text Area 15,Text Area 16,Text Area 17,Text Area 18,Text Area 19,Text Area 20,Text Area 21,Text Area 22,Text Area 23,Text Area 24,Text Area 25,Text Area 26,Text Area 27,Text Area 28,Text Area 29,Text Area 30,Text Area 31,Text Area 32,Text Area 33,Text Area 34,Text Area 35,Text Area 36,Text Area 37,Text Area 38,Text Area 39,Text Area 40,Text Area 41,Text Area 42,Text Area 43,Text Area 44,Text Area 45,Text Area 46,Text Area 47,Text Area 48,Text Area 49,Comments
23,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,announcements,PK,announcement_id,uuid,,institution_id,uuid,,title,text,FK,org_id,uuid,,body,text,,created_by,uuid,,created_at,timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,org_invites,PK,invites_id,uuid,FK,org_id,uuid,FK,institution_id,uuid,FK,invited_by,uuid,FK,invitee,uuid,,status,status,,message,text,,created_at,timestamp,,updated_at,timestamp,,,,,,,,,,,,,,,,,,,,,,
25,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,auth.users,PK,id,uuid,,role,character,,phone,character,,email_change,character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,org_approvals,PK,approval_id,uuid,FK,approved_by,uuid,FK,org_id,uuid,,status,status,,reviewed_at,timestamp,,created_at,timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,event_invites,PK,invites_id,uuid,FK,event_id,uuid,FK,institution_id,uuid,FK,invited_by,uuid,FK,invitee,uuid,,message,text,,status,status,,created_at,timestamp,,updated_at,timestamp,,,,,,,,,,,,,,,,,,,,,,
28,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,event_media_links,FK,media_assets_id,uuid,FK,event_id,uuid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,media_assets,PK,media_asset_id,uuid,FK,user_id,uuid,FK,institution_id,uuid,,visibility,text,,type,text,,url,text,,created_at,timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Line,,2,,,25,9,CFN ERD One Arrow,CFN ERD Exactly One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Line,,2,,,9,3,CFN ERD One Or More Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Line,,2,,,3,7,CFN ERD One Arrow,CFN ERD One Or More Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
